rentree;Rentree universitaire;niv_geo;reg_nom;regroupement;rgp_formations_ou_etablissements;secteur;secteur_de_l_etablissemen;sexe;sexe_de_l_etudiant;Nombre total d’étudiants inscrits;A des effectifs en formations de DUT;Nombre d’étudiants inscrits en DUT;A des effectifs en formations d'ingénieurs;Nombre d’étudiants inscrits dans les formations d’Ingénieur;diffusable;Données diffusables;secret;Données soumises au secret statistique;niveau_geo;Identifiant de l’unité géographique;Identifiant de la région;Identifiant de l'académie;Identifiant du département;Identifiant de l'unité urbaine
2001;2001-02;Région;Occitanie;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;1;Masculin;522.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R76;R76;;;
2001;2001-02;Région;Occitanie;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;1;Masculin;249.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R76;R76;;;
2001;2001-02;Région;Occitanie;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;1;Masculin;832.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R76;R76;;;
2001;2001-02;Région;Occitanie;EPEU;Etablissements d'enseignement universitaire privés;PR;Établissements privés;2;Feminin;1124.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R76;R76;;;
2001;2001-02;Région;Occitanie;EPEU;Etablissements d'enseignement universitaire privés;PR;Établissements privés;1;Masculin;862.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R76;R76;;;
2001;2001-02;Région;Occitanie;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;12503.0;non;;oui;181.0;oui;Données diffusables;non;Autres données;REGION;R76;R76;;;
2001;2001-02;Région;Auvergne-Rhône-Alpes;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;2;Feminin;623.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R84;R84;;;
2001;2001-02;Région;Auvergne-Rhône-Alpes;EC_JUR;Écoles juridiques et administratives;PU;Établissements publics;2;Feminin;775.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R84;R84;;;
2001;2001-02;Région;Auvergne-Rhône-Alpes;EC_JUR;Écoles juridiques et administratives;PR;Établissements privés;1;Masculin;127.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R84;R84;;;
2001;2001-02;Région;Auvergne-Rhône-Alpes;EC_JUR;Écoles juridiques et administratives;PU;Établissements publics;1;Masculin;1014.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R84;R84;;;
2001;2001-02;Région;Auvergne-Rhône-Alpes;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;1;Masculin;913.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R84;R84;;;
2001;2001-02;Région;Auvergne-Rhône-Alpes;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;7611.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R84;R84;;;
2001;2001-02;Région;Auvergne-Rhône-Alpes;ING_autres;Autres formations d'ingénieurs;PR;Établissements privés;1;Masculin;1599.0;non;;oui;1599.0;oui;Données diffusables;non;Autres données;REGION;R84;R84;;;
