record,code_region,Region,Annee,code_indicateur,Indicateur,code_type_uai,type_administration,code_sexe,Sexe,code_type_pers,type_personnel,etat_donnees,Valeur
1,52,Pays de la Loire,2009,dird,Depense interieure de R&D,4,Autres administrations,,,,,definitif,2.53
2,52,Pays de la Loire,2009,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,1,Chercheurs,definitif,74.2
3,52,Pays de la Loire,2009,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,2,Soutien a la recherche,definitif,90.8
4,52,Pays de la Loire,2009,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,496.03
5,52,Pays de la Loire,2009,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,59.6
6,52,Pays de la Loire,2009,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,2,Soutien a la recherche,definitif,88.8
7,52,Pays de la Loire,2010,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,479.7
8,52,Pays de la Loire,2010,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,235.18
9,52,Pays de la Loire,2010,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,2,Soutien a la recherche,definitif,46.27
10,52,Pays de la Loire,2010,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,1,Chercheurs,definitif,1.0
11,52,Pays de la Loire,2011,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,30.95
12,52,Pays de la Loire,2011,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,2,Soutien a la recherche,definitif,112.13
13,52,Pays de la Loire,2011,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,865.08
14,52,Pays de la Loire,2011,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,440.02
15,52,Pays de la Loire,2011,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,54.41
16,52,Pays de la Loire,2011,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,0.12
17,52,Pays de la Loire,2012,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,2,Soutien a la recherche,definitif,51.76
18,52,Pays de la Loire,2012,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,69.68
19,52,Pays de la Loire,2012,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,1,Chercheurs,definitif,1.32
20,52,Pays de la Loire,2012,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,0.01
21,52,Pays de la Loire,2013,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,semi-definitif,286.84
22,52,Pays de la Loire,2013,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,2,Soutien a la recherche,semi-definitif,96.93
23,52,Pays de la Loire,2013,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,semi-definitif,262.83
24,52,Pays de la Loire,2013,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,semi-definitif,100.45
25,53,Bretagne,2001,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,182.23
26,53,Bretagne,2001,dird,Depense interieure de R&D,2,EPST,,,,,definitif,97.64
27,53,Bretagne,2001,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,89.98
28,53,Bretagne,2001,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,2,Soutien a la recherche,definitif,1.0
29,53,Bretagne,2001,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,1957.0
30,53,Bretagne,2001,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,777.0
31,53,Bretagne,2001,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,598.1
32,53,Bretagne,2002,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,85.88
33,53,Bretagne,2002,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,486.4
34,53,Bretagne,2002,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,2,Soutien a la recherche,definitif,150.8
