 "reg" , "nbm" , "nbf" ,
 "Hauts-de-France" , "303" , "303" ,
 "Guadeloupe" , "167" , "167" ,
 "Provence-Alpes-Côte d'Azur" , "1" , "0" ,
 "Pays de la Loire" , "286" , "286" ,
 "Occitanie" , "309" , "309" ,
 "Bourgogne-Franche-Comte" , "283" , "283" ,
 "Bretagne" , "304" , "304" ,
 "Grand Est" , "303" , "303" ,
 "Provence-Alpes-Côte d'Azur" , "283" , "284" ,
 "Martinique" , "183" , "183" ,
 "Nouvelle-Aquitaine" , "280" , "280" ,
 "Normandie" , "269" , "264" ,
 "Auvergne-Rhône-Alpes" , "0" , "1" ,
 "Île-de-France" , "327" , "327" ,
 "Guyane" , "109" , "109" ,
 "La Reunion" , "172" , "172" ,
 "Corse" , "157" , "158" ,
 "Mayotte" , "43" , "43" ,
 "Nouvelle-Caledonie, Polynesie française, Saint-Martin" , "138" , "138" ,
 "Auvergne-Rhône-Alpes" , "324" , "323" ,
 "Centre-Val de Loire" , "245" , "245" ,
