 "cpr_reg" , "cpr_ann" , "nb_et" , "nb_per" , "amt_budget" ,
 "https://ex.org/CPR/region/%C3%8Ele-de-France" , "2007" , "1174000" , "6" , "13.27" ,
 "https://ex.org/CPR/region/%C3%8Ele-de-France" , "2008" , "1180234" , "6" , "10.74" ,
 "https://ex.org/CPR/region/%C3%8Ele-de-France" , "2009" , "1232454" , "6" , "7.41" ,
 "https://ex.org/CPR/region/%C3%8Ele-de-France" , "2010" , "1235844" , "6" , "9.89" ,
 "https://ex.org/CPR/region/%C3%8Ele-de-France" , "2011" , "1252940" , "6" , "11.89" ,
 "https://ex.org/CPR/region/%C3%8Ele-de-France" , "2012" , "1267284" , "6" , "9.86" ,
 "https://ex.org/CPR/region/%C3%8Ele-de-France" , "2013" , "1291326" , "6" , "28.35" ,
 "https://ex.org/CPR/region/Bretagne" , "2007" , "212433" , "6" , "6.62e0" ,
 "https://ex.org/CPR/region/Bretagne" , "2008" , "211608" , "6" , "7.63e0" ,
 "https://ex.org/CPR/region/Bretagne" , "2009" , "219478" , "6" , "11.41e0" ,
 "https://ex.org/CPR/region/Bretagne" , "2010" , "221218" , "6" , "6.79e0" ,
 "https://ex.org/CPR/region/Bretagne" , "2011" , "227582" , "6" , "7.14e0" ,
 "https://ex.org/CPR/region/Bretagne" , "2012" , "231656" , "6" , "3.52e0" ,
 "https://ex.org/CPR/region/Bretagne" , "2013" , "236494" , "6" , "6.64e0" ,
 "https://ex.org/CPR/region/Corse" , "2007" , "10696" , "4" , "8.84e0" ,
 "https://ex.org/CPR/region/Corse" , "2008" , "9662" , "4" , "10.38e0" ,
 "https://ex.org/CPR/region/Corse" , "2009" , "9792" , "2" , "11.48e0" ,
 "https://ex.org/CPR/region/Corse" , "2010" , "10308" , "2" , "4.4399999999999995e0" ,
 "https://ex.org/CPR/region/Corse" , "2011" , "10005" , "2" , "10.76e0" ,
 "https://ex.org/CPR/region/Corse" , "2012" , "9985" , "2" , "8.940000000000001e0" ,
 "https://ex.org/CPR/region/Corse" , "2013" , "10555" , "2" , "7.85e0" ,
 "https://ex.org/CPR/region/Guadeloupe" , "2010" , "17436" , "2" , "0.0" ,
 "https://ex.org/CPR/region/Guadeloupe" , "2012" , "17996" , "2" , "0.16" ,
 "https://ex.org/CPR/region/Guadeloupe" , "2013" , "18602" , "2" , "0.61" ,
 "https://ex.org/CPR/region/Guyane" , "2010" , "5002" , "3" , "0.25" ,
 "https://ex.org/CPR/region/Guyane" , "2011" , "5483" , "3" , "0.3" ,
 "https://ex.org/CPR/region/Guyane" , "2012" , "6392" , "3" , "0.66" ,
 "https://ex.org/CPR/region/Guyane" , "2013" , "6427" , "5" , "0.0" ,
 "https://ex.org/CPR/region/Martinique" , "2010" , "16036" , "2" , "0.0" ,
 "https://ex.org/CPR/region/Martinique" , "2012" , "15580" , "2" , "0.0" ,
 "https://ex.org/CPR/region/Martinique" , "2013" , "16298" , "2" , "0.0" ,
 "https://ex.org/CPR/region/Mayotte" , "2012" , "1934" , "2" , "0.03" ,
 "https://ex.org/CPR/region/Mayotte" , "2013" , "2182" , "2" , "0.0" ,
 "https://ex.org/CPR/region/Pays_de_la_Loire" , "2007" , "214918" , "6" , "4.71" ,
 "https://ex.org/CPR/region/Pays_de_la_Loire" , "2008" , "217926" , "6" , "7.42" ,
 "https://ex.org/CPR/region/Pays_de_la_Loire" , "2009" , "229720" , "6" , "10.3" ,
 "https://ex.org/CPR/region/Pays_de_la_Loire" , "2010" , "228830" , "6" , "10.14" ,
 "https://ex.org/CPR/region/Pays_de_la_Loire" , "2011" , "230077" , "6" , "13.18" ,
 "https://ex.org/CPR/region/Pays_de_la_Loire" , "2012" , "235410" , "6" , "6.34" ,
 "https://ex.org/CPR/region/Pays_de_la_Loire" , "2013" , "244068" , "6" , "7.04" ,
 "https://ex.org/CPR/region/Provence-Alpes-C%C3%B4te_d'Azur" , "2007" , "305220" , "6" , "4.38" ,
 "https://ex.org/CPR/region/Provence-Alpes-C%C3%B4te_d'Azur" , "2008" , "307186" , "6" , "6.91" ,
 "https://ex.org/CPR/region/Provence-Alpes-C%C3%B4te_d'Azur" , "2009" , "315230" , "6" , "10.81" ,
 "https://ex.org/CPR/region/Provence-Alpes-C%C3%B4te_d'Azur" , "2010" , "315578" , "6" , "14.8" ,
 "https://ex.org/CPR/region/Provence-Alpes-C%C3%B4te_d'Azur" , "2011" , "316280" , "6" , "12.09" ,
 "https://ex.org/CPR/region/Provence-Alpes-C%C3%B4te_d'Azur" , "2012" , "310788" , "6" , "11.24" ,
 "https://ex.org/CPR/region/Provence-Alpes-C%C3%B4te_d'Azur" , "2013" , "315802" , "6" , "9.51" ,
